かわる,変わる
かわる,変わる
かわる,変わる
かんいっぱつ,間一髪
かんがえる,考える
かんぐる,勘ぐる
かんぐる,勘ぐる
かんげいこ,寒稽古
かんけつせん,間歇泉
かんけつてき,間歇的
かんげんがく,管絃楽
かんこうちょう,官公庁
かんこうり,官公吏
かんごふ,看護婦
かんじつげつ,閑日月
かんじゅせい,感受性
かんじょうせん,環状線
かんする,関する
かんずる,感ずる
かんだかい,甲高い
かんだんけい,寒暖計
かんちがい,勘違い
かんづく,感づく
かんでんち,乾電池
かんとうし,間投詞
かんどうし,感動詞
かんな,かんな
かんねんてき,観念的
かんぱ,カンパ
かんぱ,カンパ
かんぱん,乾パン
かんぽうやく,漢方薬
きいっぽん,生一本
きいっぽん,生一本
きいろい,黄色い
きうけ,気受け
きえる,消える
ぎえんきん,義捐金
きおうしょう,既往症
きおくれ,気後れ
きおち,気落ち
きがえ,着換え
きがえ,着替え
きかがく,幾何学
きかざる,着飾る
きかざる,着飾る
きかす,きかす
きかす,聞かす
きがね,気兼ね
きがまえ,気構え
きかんし,機関士
きかんし,機関誌
きかんし,気管支
きかんしゃ,機関車
きかんじゅう,機関銃
ききうで,利き腕
ききざけ,利き酒
ききて,聞き手
ききみみ,聞き耳
ききめ,ききめ
ききやく,聞き役
きぎょうか,企業家
ぎきょうだい,義兄弟
ききんぞく,貴金属
きくする,掬する
きくずれ,着崩れ
ぎくり,ぎくり
きぐろう,気苦労
きけもの,利け者
きこうし,貴公子
きこえ,聞こえ
きごこち,着心地
きこり,きこり
きさく,気さく
きざし,きざし
きざす,きざす
ぎじどう,議事堂
きじぶん,記事文
きしみ,きしみ
きしむ,きしむ
きじゅうき,起重機
きしゅくしゃ,寄宿舎
きしょうだい,気象台
きじょうぶ,気丈夫
きしょうもん,起請文
きしり,きしり
きしる,きしる
ぎじんほう,擬人法
きずつく,傷つく
きずな,きずな
きする,期する
きする,帰する
きする,帰する
きする,記する
ぎする,擬する
ぎする,議する
ぎせいご,擬声語
きせいちゅう,寄生虫
きせる,きせる
きせる,着せる
きそう,きそう
ぎたあ,ギター
ぎたいご,擬態語
きたえる,鍛える
きだおれ,着倒れ
きたす,きたす
きだて,気立て
きたない,汚ない
きたはんきゅう,北半球
きたる,きたる
きたる,来たる
きちがい,気違い
きちすう,既知数
きちょうひん,貴重品
きちょうめん,几帳面
きちんやど,木賃宿
きつい,きつい
きづかれ,気疲れ
きづく,気づく
きつけ,着付け
きっさき,切っ先
きっさてん,喫茶店
きっす,キッス
きっする,喫する
きっと,きっと
きっと,きっと
きつね,きつね
きつねつき,狐つき
きづよい,気強い
きどうらく,着道楽
きどり,気取り
きどる,気取る
きながし,着流し
きなこ,きな粉
きぬおりもの,絹織物
きぬけ,気抜け
きぬずれ,衣擦れ
きねま,キネマ
きねんひ,記念碑
きねんび,記念日
きのう,きのう
きのこ,きのこ
きのどく,気の毒
きのぼり,木登り
きのみ,木の実
きのめ,木の芽
きのり,気乗り
きはつゆ,揮発油
きばむ,黄ばむ
きばやい,気早い
きばる,気張る
きびき,忌引き
きびす,きびす
きふきん,寄付金
きふじん,貴婦人
きぼり,木彫り
きまま,気まま
きまり,きまり
きまる,きまる
きみがよ,君が代
きみじか,気短か
きめる,きめる
きもいり,肝入り
きもいり,肝入り
きもち,気持ち
きもち,気持ち
ぎもんふ,疑問符
きゃあ,キャア
ぎゃあ,ギャア
ぎゃくこうか,逆効果
ぎゃくこうせん,逆光線
きゃくどめ,客止め
きゃくひき,客引き
ぎゃくひれい,逆比例
ぎゃくゆしゅつ,逆輸出
ぎゃくゆにゅう,逆輸入
きやすい,気安い
きやすめ,気休め
きゃっ,キャッ
きゃつ,きゃつ
ぎゃっ,ギャッ
きゃっかんてき,客観的
ぎゃら,ギャラ
ぎゅう,ぎゅう
きゅうかざん,休火山
きゅうかんち,休閑地
きゅうけつき,吸血鬼
きゅうこうか,急降下
きゅうしふ,休止符
ぎゅうじる,牛耳る
きゅうしんりょく,求心力
きゅうする,窮する
きゅうする,給する
きゅうせいしゅ,救世主
きゅうせんぽう,急先鋒
きゅうちしん,求知心
きゅうどうしゃ,求道者
きゅうどうしん,求道心
きゅうめいぐ,救命具
きょう,きょう
きょういくしゃ,教育者
きょうかしょ,教科書
きょうざつぶつ,夾雑物
きょうざめ,興ざめ
きょうしんかい,共進会
きょうしんざい,強心剤
きょうする,供する
きょうする,供する
きょうずる,興ずる
きょうそうきょく,狂想曲
きょうそうざい,強壮剤
きょうつうご,共通語
きょうとうほ,橋頭堡
きょうどの,強度の
きょくのり,曲乗り
きょこんしゃ,許婚者
きょしてき,巨視的
ぎょする,御する
きょひけん,拒否権
きよめる,清める
きよらか,清らか
きょりゅうみん,居留民
きらい,きらい
きらう,きらう
きらり,きらり
ぎらり,ぎらり
きり,−きり
きりかぶ,切り株
きりくち,切り口
きりしたん,切支丹
きりどおし,切通し
きりばな,切り花
きりふき,霧吹き
きりふだ,切り札
きりみ,切り身
きりめ,切り目
きりん,きりん
きる,−きる
きるく,キルク
ぎるど,ギルド
きれあじ,切れ味
きれじ,きれ地
きれめ,切れ目
きれもの,きれ物
きれもの,切れ者
きれる,切れる
きろすう,キロ数
きろてい,キロ程
きわまり,極まり
きわまる,極まる
きわめる,極める
きんぎょばち,金魚鉢
きんぎょや,金魚屋
きんきょり,近距離
きんぐ,キング
ぎんこんしき,銀婚式
きんずる,禁ずる
ぎんずる,吟ずる
ぎんせかい,銀世界
ぎんせかい,銀世界
きんどけい,金時計
ぎんどけい,銀時計
きんぴか,金ぴか
ぎんぶら,銀ぶら
きんまんか,金満家
きんろうしゃ,勤労者
くいけ,食い気
くいず,クイズ
くいどうらく,食道楽
くいもの,食い物
くいる,悔いる
くうきじゅう,空気銃
ぐうする,遇する
くぎづけ,釘付け
くぎぬき,釘ぬき
くぎり,区切り
くぎる,くぎる
くくる,くくる
くける,くける
くさかり,草刈り
くさす,くさす
くさとり,草取り
くさとり,草取り
くさび,くさび
くさぶかい,草深い
くさぶき,草ぶき
くさみ,くさみ
くさむら,草むら
くさめ,くさめ
ぐさり,ぐさり
くさりあみ,鎖編み
くさる,くさる
くされえん,腐れ縁
くさわけ,草分け
くじき,くじき
くじく,くじく
くじら,くじら
くじる,くじる
くずす,くずす
くずゆ,くず湯
ぐずる,ぐずる
くせに,くせに
くそぢから,くそ力
くそどきょう,糞度胸
くそべんきょう,糞勉強
くそみそ,糞味噌
ぐたいか,具体化
ぐたいてき,具体的
ぐたいてき,具体的
くだく,くだく
くだす,くだす
くだり,くだり
くだりざか,下り坂
くだる,くだる
くちあけ,口あけ
くちき,朽ち木
くちきき,口利き
くちきり,口切り
くちごたえ,口答え
くちぞえ,口添え
くちだし,口出し
くちつき,口つき
くちつき,口つき
くちづけ,口付け
くちづたえ,口伝え
くちどめ,口止め
くちどめ,口止め
くちば,朽ち葉
くちばしる,口走る
くちひげ,口ひげ
くちぶり,口ぶり
くちべた,口下手
くちべた,口下手
くちまね,口まね
くちもと,口もと
くちもと,口もと
くちやくそく,口約束
くちゅうざい,駆虫剤
くちよせ,口寄せ
くちる,朽ちる
ぐちる,ぐちる
くっする,屈する
くっする,屈する
くつぬぎ,靴ぬぎ
くつみがき,靴磨き
くつみがき,靴磨き
くつわ,くつわ
くどい,くどい
くとうてん,句読点
くどく,口説く
くぬぎ,くぬぎ
くねる,くねる
くびかざり,首飾り
くびきり,首切り
くびきる,首切る
くびす,くびす
くびすじ,首すじ
くびったけ,首っ丈
くびる,くびる
くふう,くふう
くべる,くべる
くぼみ,くぼみ
くぼむ,くぼむ
くぼむ,くぼむ
くまうち,熊打ち
くみあわせ,組合せ
くみうち,組打ち
くみうち,組打ち
くみわけ,組分け
ぐむ,−ぐむ
くもがくれ,雲隠れ
くもがくれ,雲隠れ
くもゆき,雲行き
くもらす,曇らす
くやむ,悔やむ
くらい,くらい
くらいする,位する
くらいどり,位取り
くらう,食らう
くらがえ,鞍替え
くらげ,くらげ
くらし,暮らし
くらす,クラス
くらす,クラス
くらす,暮らす
くらす,暮らす
くらぶ,クラブ
ぐらふ,グラフ
くらべる,比べる
くらむ,くらむ
ぐらむ,グラム
ぐらり,ぐらり
くりかえし,繰返し
くりかえし,繰返し
くりげ,くり毛
くるしい,苦しい
くるしみ,苦しみ
くるしむ,苦しむ
くるまひき,車挽き
くるみ,くるみ
くるむ,くるむ
くるむ,くるむ
くるり,くるり
ぐるり,ぐるり
ぐるり,ぐるり
ぐれい,グレイ
くれがた,暮れ方
くれて,くれ手
くれる,くれる
くれる,暮れる
ぐれる,ぐれる
くろざとう,黒砂糖
くろずむ,黒ずむ
くろびかり,黒光り
くろやき,黒焼き
くろんぼ,黒ん坊
くろんぼう,黒ん坊
くわえる,加える
くわえる,加える
くわしい,詳しい
くわだてる,企てる
くわつみ,桑摘み
くわわる,加わる
ぐんきもの,軍記物
くんずる,薫ずる
ぐんと,ぐんと
けいききゅう,軽気球
けいきんぞく,軽金属
けいこうぎょう,軽工業
けいこうとう,螢光燈
けいざいてき,経済的
けいさつしょ,警察署
げいじゅついん,芸術院
けいじょうひ,経常費
けいだんれん,経団連
けいどうみゃく,頚動脈
けいばじょう,競馬場
けいはんざい,軽犯罪
けいふぼ,継父母
けいむしょ,刑務所
けいようし,形容詞
けえき,ケーキ
げえじ,ゲージ
けえす,ケース
けえす,ケース
けえぷ,ケープ
げえむ,ゲーム
けおりもの,毛織物
げかい,外科医
けがす,けがす
けがにん,怪我人
げきする,激する
けぎらい,毛嫌い
けころす,蹴殺す
けしいん,消し印
けしずみ,消し炭
けじめ,けじめ
げしゅくさき,下宿先
げしゅにん,下手人
けすじ,毛すじ
げせる,解せる
けだかい,気高い
けだかい,気高い
けだし,けだし
げたばこ,下駄箱
げっけいかん,月桂冠
けっこんしき,結婚式
けっして,決して
けっする,決する
けづめ,けづめ
げてもの,下手物
げどくざい,解毒剤
けどる,気取る
けなす,けなす
けなみ,毛なみ
けぬき,毛抜き
げねつざい,解熱剤
げばひょう,下馬評
げびた,下卑た
けぶかい,毛深い
けぶたい,煙たい
けぶる,けぶる
けみする,閲する
けむたい,煙たい
けむる,けむる
けもの,けもの
けやき,けやき
げりら,ゲリラ
けれど,けれど
けろり,けろり
けんおんき,検温器
げんがっき,絃楽器
げんこ,げんこ
けんこうこつ,肩胛骨
げんざいいん,現在員
けんさつちょう,検察庁
げんさんち,原産地
げんさんち,原産地
げんじゅうしょ,現住所
げんじゅうち,現住地
げんじゅうみん,現住民
げんしりょく,原子力
けんずる,献ずる
げんずる,減ずる
げんずる,減ずる
けんせきうん,巻積雲
けんそううん,巻層雲
けんぞうぶつ,建造物
げんどうりょく,原動力
けんびきょう,顕微鏡
けんぶつにん,見物人
けんぼうしょう,健忘症
けんようすい,懸壅垂
こいしい,恋しい
こいする,恋する
こいつ,こいつ
こいに,故意に
こいぬ,こいぬ
こいる,コイル
こういしつ,更衣室
こういっつい,好一対
こういってん,紅一点
こうかいどう,公会堂
こうがくしん,好学心
こうきあつ,高気圧
こうきしん,好奇心
こうきゅうび,公休日
こうきょうがく,交響楽
こうきょうきょく,交響曲
こうきょうしん,公共心
こうくうき,航空機
こうくうびん,航空便
こうけいき,好景気
こうけいき,好景気
こうこうしゃく,公侯爵
こうこうや,好々爺
こうこがく,考古学
こうさいひ,交際費
こうし,こうし
こうしえん,甲子園
こうじば,工事場
こうしゃほう,高射砲
こうしゃりん,後車輪
こうしゅけい,絞首刑
こうしょうにん,公証人
こうじる,昂じる
こうしんえつ,甲信越
こうじんぶつ,好人物
こうすいりょう,降水量
こうする,抗する
こうずる,講ずる
こうずる,講ずる
こうずる,薨ずる
ごうする,号する
こうせいざい,抗生剤
こうせんてき,好戦的
こうそくど,高速度
こうたいこう,皇太后
こうたいし,皇太子
こうだんし,好男子
こうちしょ,拘置所
こうちょうかい,公聴会
こうつうひ,交通費
こうつうもう,交通網
こうつごう,好都合
こうてきしゅ,好敵手
こうてんてき,後天的
こうとうてき,高踏的
こうとくしん,公徳心
こうねつひ,光熱費
こうねんき,更年期
ごうのもの,剛の者
こうはいしゅ,交配種
こうばいすう,公倍数
こうはいち,後背地
こうはいち,後背地
こうはんい,広範囲
こうはんせい,後半生
こうぶんしょ,公文書
こうぶんぼ,公分母
こうべ,こうべ
こうま,こうま
こうみんかん,公民館
こうむいん,公務員
こうもうじん,紅毛人
こうやくすう,公約数
こうようじゅ,広葉樹
こうらくえん,後楽園
ごうりか,合理化
ごうりてき,合理的
ごうりてき,合理的
こえだめ,肥溜め
こえび,小えび
こえる,越える
こえる,肥える
こおす,コース
こおち,コーチ
こおと,コート
こおと,コート
こおど,コード
こおりざとう,氷砂糖
ごおる,ゴール
こがい,子飼い
こがす,焦がす
こがね,こがね
こがわせ,小為替
こきざみ,小刻み
こきざみ,小刻み
こぎって,小切手
こきゅうき,呼吸器
こぎれい,小綺麗
こくごか,国語科
ごくさいしき,極彩色
こくする,哭する
こくぶんがく,国文学
こくぶんぽう,国文法
こぐま,こぐま
こくみんせい,国民性
こくむしょう,国務省
こくり,こくり
ごくり,ごくり
ごくろう,御苦労
こけし,こけし
こげちゃいろ,焦茶色
こけら,こけら
こげる,焦げる
ここあ,ココア
こごえる,凍える
こごと,こごと
こごと,こごと
ここら,ここら
こごる,こごる
こころえる,心得る
こころおき,心置き
こころおぼえ,心覚え
こころがけ,心がけ
こころがまえ,心構え
こころぐみ,心組み
こころづけ,心付け
こころづよい,心強い
こころにくい,心憎い
こころのこり,心残り
こころぼそい,心細い
こころまち,心待ち
こころまち,心待ち
こころみる,試みる
こころもち,心持ち
こころやすい,心安い
こころやり,心やり
こころゆく,心ゆく
こさじ,小さじ
ござる,ござる
ごし,−越し
こしいれ,輿入れ
こじいん,孤児院
ごしちちょう,五七調
こしつき,腰つき
こしつき,腰つき
こしぬけ,腰抜け
ごじゅうおん,五十音
ごじゅうのとう,五重塔
こじる,こじる
こじんさ,個人差
こすい,こすい
こすと,コスト
こする,こする
ごする,期する
ごする,伍する
こせいぶつ,古生物
こせんじょう,古戦場
ごせんふ,五線譜
こそどろ,こそ泥
こそり,こそり
ごそり,ごそり
こぞる,こぞる
こたえる,徹える
こたえる,答える
こだかい,小高い
こだし,小出し
こだし,小出し
ごたぶん,御多分
こだま,こだま
ごちそう,御馳走
こちら,こちら
ごつい,ごつい
こづかい,小遣い
こっく,コック
こづく,こづく
ごっこ,ごっこ
こっち,こっち
こづつみ,小包み
こっぱ,こっぱ
こっぷ,コップ
ごづめ,後詰め
こつり,こつり
ごつり,ごつり
こつん,こつん
ごつん,ごつん
こてさき,小手先
ごと,−ごと
こどうぐ,小道具
ことし,ことし
ことづけ,言づけ
ことづて,言づて
ことなる,異なる
ことなる,異なる
ことに,ことに
ごとに,ごとに
ことり,ことり
ことり,ことり
ごとり,ごとり
ことん,ことん
ごとん,ごとん
こなす,こなす
こなた,こなた
こなひき,粉挽き
こなみじん,粉微塵
こなれ,こなれ
こにもつ,小荷物
こにんず,小人数
こねこ,こねこ
こねる,こねる
このあいだ,この間
このは,木の葉
このみ,木の実
このめ,木の芽
このよ,この世
ごはさん,御破算
こはぜ,こはぜ
こばむ,こばむ
ごはんつぶ,御飯粒
こぴい,コピー
こびき,木挽き
こびる,こびる
こぶくしゃ,子福者
ごふくや,呉服屋
こぶし,こぶし
ごふじょう,御不浄
こぶり,小降り
ごぼう,ごぼう
こぼす,こぼす
こぼす,こぼす
ごほん,ごほん
こぼんのう,子煩悩
こまぎれ,細切れ
ごましお,胡麻塩
こまた,小また
こまづかい,小間使
こまめ,小まめ
ごまめ,ごまめ
こまもの,小間物
こみち,小みち
こむぎ,こむぎ
こむぎこ,小麦粉
こむそう,虚無僧
こむらがえり,腓返り
こめそうば,米相場
こめとぎ,米とぎ
こめびつ,米びつ
こめる,込める
こもち,子持ち
こもり,子守り
こもる,こもる
こもんじょ,古文書
こやし,肥やし
こやす,肥やす
こよい,こよい
こより,こより
ごらいこう,御来光
ごらいごう,御来迎
こらす,こらす
こらす,凝らす
こらむ,コラム
こりこう,小利巧
こりしょう,凝り性
こりゃ,こりゃ
ごりやく,御利益
ごりら,ゴリラ
こりる,こりる
こるく,コルク
ごるふ,ゴルフ
これは,これは
これら,これら
これら,コレラ
ころな,コロナ
ごろね,ごろ寝
ころぶ,ころぶ
ころもがえ,衣替え
ころり,ころり
ごろり,ごろり
こわい,こわい
こわい,こわい
こわす,こわす
こわす,こわす
こわす,こわす
こんくらべ,根比べ
こんけつじ,混血児
こんごうせき,金剛石
こんずる,混ずる
こんと,コント
こんな,こんな
こんび,コンビ
こんび,コンビ
こんぶ,こんぶ
こんぺいとお,金平糖
こんま,コンマ
こんまけ,根負け
こんりんざい,金輪際
さあじ,サージ
さあぶ,サーブ
さいけいれい,最敬礼
さいこうさい,最高裁
さいこうちょう,最高潮
さいする,際する
さいそうち,採草地
さいのめ,賽の目
さいはて,最果て
さいばんしょ,裁判所
さいん,サイン
さえる,冴える
さおとめ,早乙女
さかい,さかい
さかうらみ,逆恨み
さかえる,栄える
さかき,さかき
さかさま,逆さま
さがしもの,探し物
さかだち,逆立ち
さかねじ,逆ねじ
さかもり,酒盛り
さからう,逆らう
さがり,下がり
さかりば,盛り場
さがる,下がる
さかん,さかん
さきがけ,先がけ
さきごろ,先ごろ
さきごろ,先ごろ
さきだち,先立ち
さきだつ,先立つ
さきどり,先取り
さきばしり,先走り
さきばしる,先走る
さきぶれ,先触れ
さきまわり,先回り
さくい,さくい
さくい,さくい
さくがんき,削岩機
さくする,策する
さくづけ,作付け
さくら,さくら
さくらがり,桜狩り
ざくり,ざくり
ざくろ,ざくろ
さげしお,下げ潮
さけのみ,酒のみ
さけびごえ,叫び声
さけめ,裂け目
さける,避ける
さける,裂ける
さげる,下げる
さげる,下げる
さざえ,さざえ
ささえる,支える
ささえる,支える
ささげる,捧げる
さざなみ,さざ波
ささる,刺さる
さしいれ,差入れ
さしおさえ,差押え
さしおさえ,差押え
さしがね,差し金
さしき,挿し木
さしき,挿し木
さしこみ,差込み
さしさわり,差障り
さしさわり,差障り
さしだし,差出し
さしつかえ,差支え
さしつかえ,差支え
さして,さして
さしどめ,差止め
さしひき,差引き
さしみ,刺し身
さしも,さしも
さすが,さすが
さずかり,授かり
さずかる,授かる
さずける,授ける
さする,さする
さする,さする
ざする,坐する
させる,させる
さそいみず,誘い水
さそり,さそり
さだか,さだか
さだまり,定まり
さだめる,定める
ざだんかい,座談会
さっかしょう,擦過傷
ざっかや,雑貨屋
さっき,さっき
さっき,さっき
さつき,さつき
さっする,察する
さっちゅうざい,殺虫剤
さっと,さっと
さっと,さっと
ざっと,ざっと
さっぷうけい,殺風景
さては,さては
さても,さても
さても,さても
さとい,さとい
さとがえり,里帰り
さとす,さとす
さなか,さなか
さなぎ,さなぎ
さばき,さばき
さばく,さばく
さびる,錆びる
さびる,寂びる
ざぶとん,座蒲団
ざぶり,ざぶり
さほど,さほど
さほど,さほど
さぼる,さぼる
ざぼん,ザボン
さます,さます
さます,覚ます
さます,覚ます
さまたげる,妨げる
さまで,さまで
さみせん,三味線
さめる,さめる
さめる,さめる
さめる,覚める
さめる,覚める
さやか,さやか
さよう,さよう
さよう,さよう
さらい,さらい
さらう,さらう
さらう,さらう
さらう,さらう
さらう,さらう
さらえ,さらえ
さらし,さらし
さらす,さらす
さらす,さらす
さらだ,サラダ
さらに,さらに
さらば,さらば
さらまわし,皿回し
ざらめ,ざらめ
さらり,さらり
ざらり,ざらり
ざるご,ざる碁
さるぢえ,猿知慧
されど,されど
されば,されば
される,される
ざれる,ざれる
さろん,サロン
さろん,サロン
さわかい,茶話会
さわり,さわり
さわり,さわり
さわる,さわる
さわる,さわる
さんかくけい,三角形
さんかくほう,三角法
さんかっけい,三角形
さんがにち,三が日
さんぎいん,参議院
さんげんしょく,三原色
さんご,さんご
さんごしょう,珊瑚礁
さんさろ,三叉路
さんしじゆう,三四十
さんする,産する
さんする,算する
さんずる,散ずる
さんせいけん,参政権
さんだいばなし,三題噺
さんにんしょう,三人称
さんばがらす,三羽烏
さんびょうし,三拍子
ざんぶ,ざんぶ
さんま,さんま
さんりんしゃ,三輪車
しあげ,仕上げ
しあげ,仕上げ
しあわせ,仕合せ
しあわせ,仕合せ
しいつ,シーツ
しいて,強いて
しいと,シート
じいぷ,ジープ
しいる,しいる
しいる,強いる
しいれ,仕入れ
しいん,シーン
しいん,シーン
しうち,仕打ち
しうんてん,試運転
しおからい,塩辛い
しおき,仕置き
しおくり,仕送り
しおくる,仕送る
しおせんべい,塩煎餅
しおだし,塩出し
しおだち,塩断ち
しおづけ,塩漬け
しおどき,潮どき
しおびき,塩引き
しおやき,塩焼き
しおり,しおり
しがいせん,紫外線
しがいち,市街地
しかえし,仕返し
しかえす,仕返す
しかくい,四角い
しかくけい,四角形
しかけ,仕掛け
しかざん,死火山
しかし,しかし
じがぞう,自画像
じがぞう,自画像
じがため,地固め
しがち,しがち
しかと,しかと
じかに,じかに
しかも,しかも
じかよう,自家用
しかる,しかる
しかる,しかる
しきいし,敷き石
しきしゃ,指揮者
しきせ,仕着せ
じきとりひき,直取引
じきまき,直まき
しきもの,敷き物
じぎょうか,事業家
しきり,しきり
しきり,しきり
しきる,仕切る
しきんせき,試金石
じくうけ,軸受け
しぐさ,しぐさ
じくばり,字配り
じくばり,字配り
しくみ,仕組み
しくむ,仕組む
しける,しける
しけんかん,試験管
しごく,しごく
じごくみみ,地獄耳
しごせん,子午線
しごとば,仕事場
しこみ,仕込み
しこむ,仕込む
しこり,しこり
じこりゅう,自己流
しこる,しこる
じさくのう,自作農
しさる,しさる
じじい,じじい
しじま,しじま
ししまい,獅子舞
しじみ,しじみ
ししゅんき,思春期
ししょうしゃ,死傷者
じじょでん,自叙伝
しずく,しずく
しずけさ,静けさ
しずけし,静けし
しずまる,静まる
しずめる,静める
しずめる,沈める
しずり,試刷り
しする,資する
じする,持する
じする,辞する
じする,辞する
しせいかつ,私生活
しせいじ,私生児
しぜんに,自然に
しそこない,仕損い
しそんじ,仕損じ
しだいに,次第に
したうけ,下請け
したうち,舌打ち
したがえる,従える
したがき,下書き
したげいこ,下稽古
したけんぶん,下検分
しだし,仕出し
したしい,親しい
したじき,下敷き
したしく,親しく
したしみ,親しみ
したしむ,親しむ
したじゅんび,下準備
したしらべ,下調べ
したそうだん,下相談
したためる,認める
したっぱ,下っぱ
したづみ,下積み
したて,仕立て
したてもの,仕立物
したぬり,下塗り
したのね,舌の根
したばき,下ばき
したばたらき,下働き
したまわり,下回り
したまわる,下回る
したむき,下向き
したよみ,下読み
じだらく,自堕落
しだれ,しだれ
じちけん,自治権
しちごさん,七五三
しちごちょう,七五調
じちせい,自治制
じちたい,自治体
しちふくじん,七福神
しちょうかく,視聴覚
しちょうそん,市町村
じちんさい,地鎮祭
じつぎょうか,実業家
しっく,シック
しつけ,しつけ
じっしゃかい,実社会
じっしんほう,十進法
しっする,失する
じつづき,地続き
じっと,じっと
しっぽ,しっぽ
じてんしゃ,自転車
してんのう,四天王
じどうしゃ,自動車
しどうしょ,指導書
しとね,しとね
しなう,しなう
しなおし,仕直し
しなおす,仕直す
しなぎれ,品切れ
しなご,支那語
しなさだめ,品定め
しなじん,支那人
しなふく,支那服
じならし,地均し
しにがお,死に顔
しにぎわ,死に際
しにせ,しにせ
しにばな,死に花
しにめ,死に目
じぬい,地縫い
しのぐ,しのぐ
しのぐ,しのぐ
しのこし,し残し
しのこす,仕残す
しはいにん,支配人
しはいにん,支配人
しばかり,柴刈り
しばし,しばし
じはだ,地はだ
しはらい,支払い
しはらう,支払う
しばる,しばる
しはんき,四半期
しはんきん,四半斤
しはんぶん,四半分
じびき,字引き
じひびき,地響き
しぶき,しぶき
しぶく,しぶく
じべた,地べた
しへんけい,四辺形
しほうけん,司法権
しぼむ,しぼむ
しぼる,しぼる
しぼる,しぼる
しぼる,しぼる
しほんか,資本家
しほんきん,資本金
しまい,しまい
しまう,しまう
しまながし,島流し
しまり,しまり
しまる,しまる
しまる,締まる
しまる,閉まる
じまんばなし,自慢話
しみる,しみる
しみる,しみる
じむいん,事務員
じむいん,事務員
じむかん,事務官
じむしつ,事務室
じむしょ,事務所
しめす,しめす
しめた,しめた
しめなわ,しめ繩
しめりけ,湿り気
しめる,しめる
しめる,しめる
しめる,占める
しめる,締める
しめる,締める
しめる,閉める
しもがれ,霜枯れ
しもごえ,下肥え
しもどけ,霜どけ
しものく,下の句
しもふり,霜降り
しもふり,霜降り
しもべ,しもべ
しもよけ,霜よけ
じゃあ,じゃあ
しゃかいか,社会科
しゃかいめん,社会面
しやくしょ,市役所
しゃこうせい,社交性
しゃしんき,写真機
しゃしんや,写真屋
じゃず,ジャズ
しゃする,謝する
しゃせいぶん,写生文
しゃだんき,遮断機
しゃつ,シャツ
じゃのめ,蛇の目
しゃみせん,三味線
しゃむ,シャム
じゃむ,ジャム
しゃも,しゃも
しゃれ,しゃれ
じゆうが,自由画
じゆうがた,自由型
しゅうぎいん,衆議院
じゅうこうぎょう,重工業
じゅうごや,十五夜
しゅうさんち,集散地
じゆうし,自由詩
じゅうじか,十字架
しゅうしふ,終止符
しゅうしゅうきょう,収集狂
しゅうしょくご,修飾語
じゅうじろ,十字路
じゅうじろ,十字路
しゅうたいせい,集大成
じゅうたくち,住宅地
じゅうたくち,住宅地
しゅうちゃくえき,終着駅
じゅうにし,十二支
しゅうにゅうやく,収入役
じゅうはちばん,十八番
じゅうもんじ,十文字
じゅうようし,重要視
しゅうようじょ,収容所
しゅうれっしゃ,終列車
じゅうろうどう,重労働
しゅかんてき,主観的
しゅくさいじつ,祝祭日
じゅくじくん,熟字訓
しゅくする,祝する
じゅくする,熟する
しゅこうぎょう,手工業
しゅさんち,主産地
しゅじい,主治医
しゅじんこう,主人公
しゅせんど,守銭奴
しゅちてき,主知的
しゅっこんそう,宿根草
しゅっする,卒する
しゅつどひん,出土品
しゅっぱんしゃ,出版社
しゅどうけん,主導権
しゅぬり,朱塗り
しゅろ,しゅろ
じゅわき,受話器
じゅわき,受話器
じゅんおくり,順送り
じゅんかつゆ,潤滑油
じゅんかんき,循環器
じゅんぐり,順繰り
じゅんけっしょう,準決勝
じゅんずる,殉ずる
じゅんずる,準ずる
しょいちねん,初一念
しょう,しょう
しょういだん,焼夷弾
しょうかき,消化器
しょうがくきん,奨学金
しょうがくせい,小学生
しょうがっこう,小学校
じょうかんぱん,上甲板
じょうきげん,上機嫌
じょうきせん,蒸汽船
しょうきょくてき,消極的
しょうきょくてき,消極的
しょうこうぎょう,商工業
しょうこうねつ,猩紅熱
じょうこくしん,上告審
じょうさし,状差し
しようしゃ,使用者
じょうしゃけん,乗車券
じょうすいち,浄水池
しょうすうてん,小数点
しょうする,称する
しょうする,称する
しょうする,証する
しょうずる,生ずる
じょうずる,乗ずる
じょうずる,乗ずる
じょうずる,乗ずる
しょうそくすじ,消息筋
しょうちくばい,松竹梅
じょうでき,上出来
じょうとうく,常套句
しょうにか,小児科
しょうにゅうどう,鍾乳洞
しようにん,使用人
じょうはんしん,上半身
じょうむいん,乗務員
じょうやとい,常雇い
じょうやとう,常夜燈
じょうりゅうすい,蒸溜水
じょうるり,浄瑠璃
しょお,ショー
しょがくしゃ,初学者
じょがくせい,女学生
じょがっこう,女学校
じょきょういん,女教員
じょきょうじゅ,助教授
しょくぎょうか,職業科
しょくする,嘱する
しょくする,食する
しょくぱん,食パン
しょくぶつえん,植物園
しょくみんち,植民地
じょさんぷ,助産婦
しょしんしゃ,初心者
しょする,処する
じょする,恕する
じょする,除する
じょせいてき,女性的
じょせいてき,女性的
しょたいめん,初対面
じょちゅうぎく,除虫菊
じょてんいん,女店員
じょどうし,助動詞
しょとうすう,諸等数
しょとくぜい,所得税
しょなのか,初七日
じょのくち,序の口
