いくら,いくら
いけがき,生け垣
いけどる,生捕る
いけばな,活け花
いける,いける
いける,いける
いける,生ける
いごこち,居心地
いこじ,いこじ
いこじ,依怙地
いこむ,鋳込む
いさお,いさお
いざかや,居酒屋
いさみはだ,勇み肌
いさり,いさり
いざり,いざり
いさる,いさる
いざる,いざる
いしがけ,石がけ
いしきり,石切り
いしけり,石けり
いしころ,石ころ
いしどうろう,石燈篭
いしどうろう,石燈篭
いしばい,石ばい
いしょくじゅう,衣食住
いじる,いじる
いじわる,意地悪
いずこ,いずこ
いずれ,いずれ
いずれ,いずれ
いせいしゃ,為政者
いせる,いせる
いそうがい,意想外
いそがしい,忙しい
いそぎあし,急ぎ足
いたく,いたく
いだく,いだく
いたしかた,致し方
いたす,いたす
いだす,鋳出す
いたち,いたち
いたって,至って
いたで,いたで
いたのま,板の間
いたばさみ,板挾み
いたばさみ,板挾み
いたばり,板張り
いたむ,いたむ
いたむ,いたむ
いためる,傷める
いたわり,労わり
いたわる,労わる
いちがいに,一概に
いちぎてき,一義的
いちご,いちご
いちじに,一時に
いちじるしい,著しい
いちだいじ,一大事
いちだんと,一段と
いちだんらく,一段落
いちどに,一度に
いちにんしょう,一人称
いちねんじゅう,一年中
いちねんせい,一年生
いちねんそう,一年草
いちばんやり,一番槍
いちぶぶん,一部分
いちめんしき,一面識
いちめんに,一面に
いちもくさん,一目散
いちもんじ,一文字
いちやづけ,一夜漬
いちらんひょう,一覧表
いちりづか,一里塚
いつか,いつか
いつか,いつか
いっかげん,一家言
いっきに,一気に
いっきょに,一挙に
いつく,居着く
いつくしみ,慈しみ
いっけんや,一軒家
いっさくじつ,一昨日
いっさくねん,一昨年
いっさんに,一散に
いっしょうがい,一生涯
いっする,逸する
いっせいに,一斉に
いっせいに,一斉に
いっそ,いっそ
いっちょうら,一張羅
いっちょくせん,一直線
いつつ,いつつ
いつづけ,居続け
いつづけ,居続け
いっぱんに,一般に
いっぺんとう,一辺倒
いつも,いつも
いとう,いとう
いとこ,いとこ
いどばた,井戸端
いとま,いとま
いとま,いとま
いとまごい,暇乞い
いどみず,井戸水
いどむ,いどむ
いなおる,居直る
いなかみち,田舎道
いなご,いなご
いならぶ,居並ぶ
いぬい,いぬい
いぬかき,犬掻き
いぬじに,犬死に
いねかり,稲刈り
いねこき,稲こき
いねむり,居眠り
いねむる,居眠る
いのこり,居残り
いのこる,居残る
いのちがけ,命懸け
いばら,いばら
いばる,いばる
いびき,いびき
いびつ,いびつ
いびる,いびる
いぶき,いぶき
いぶしぎん,燻し銀
いぶす,いぶす
いぶる,いぶる
いぶんし,異分子
いほうじん,異邦人
