いずまい,居ずまい
いすわり,居すわり
いすわる,居すわる
いすわる,居すわる
いせこみ,いせ込み
いせこむ,いせこむ
いそいそ,いそいそ
いそしむ,いそしむ
いたいたしい,痛々しい
いたがる,いたがる
いたずら,いたずら
いただく,いただく
いたどり,いたどり
いたましい,痛ましい
いためる,いためる
いためる,いためる
いたわしい,痛わしい
いちげんこじ,一言居士
いちじあずけ,一時預け
いちじく,いちじく
いちずに,いちずに
いちばんのり,一番乗り
いちぶしじゅう,一部始終
いちもんなし,一文なし
いちやづけ,一夜漬け
いちょう,いちょう
いちようらいふく,一陽来復
いっかな,いっかな
いっきうち,一騎打ち
いっきょいちどう,一挙一動
いつごろ,いつごろ
いっさいがっさい,一切合財
いっさくさくねん,一昨昨年
いつしか,いつしか
いっしょうけんめい,一生懸命
いっしんふらん,一心不乱
いっすんぼうし,一寸法師
いっそくとび,一足跳び
いつぞや,いつぞや
いつぞや,いつぞや
いったい,いったい
いったん,いったん
いっちはんかい,一知半解
いってんばり,一点張り
いっぱい,いっぱい
いっぱい,いっぱい
いっぱし,いっぱし
いつぶす,鋳つぶす
いっぽんだち,一本立ち
いつわり,いつわり
いつわる,いつわる
いつわる,いつわる
いつわる,いつわる
いでたち,いでたち
いとぐち,いとぐち
いとぐち,いとぐち
いとしい,いとしい
いとしご,いとし子
いとなむ,いとなむ
いながら,居ながら
いななく,いななく
いのしし,いのしし
いのちしらず,命知らず
いぶかる,いぶかる
いぼきょうだい,異母兄弟
いましがた,今しがた
いみことば,忌み言葉
いめえじ,イメージ
いもむし,いもむし
いやいや,いやいや
いやいや,いやいや
いやがらせ,嫌がらせ
いやがる,いやがる
いやしい,いやしい
いやしむ,いやしむ
いよいよ,いよいよ
いらいら,いらいら
いらえる,いらえる
いらだち,いらだち
いらだつ,いらだつ
いりあいのかね,入合の鍾
いりくむ,入り組む
いりびたる,入り浸る
いれかえ,入れ替え
いれぢえ,入れ知恵
いれちがい,入れ違い
いれちがう,入れ違う
いろあせる,色あせる
いろいろ,いろいろ
いろっぽい,色っぽい
いろどる,いろどる
いろりばた,いろり端
いろんな,いろんな
いわしぐも,いわし雲
いわゆる,いわゆる
いわんや,いわんや
いんかしょくぶつ,隠花植物
いんちき,インチキ
いんてり,インテリ
いんふれ,インフレ
ういういしい,初々しい
ういてんぺん,有為転変
うええぶ,ウエーブ
うえこむ,植え込む
うえじに,うえ死に
うえすと,ウエスト
うえつけ,植え付け
うえっと,ウエット
うおうさおう,右往左往
うかうか,うかうか
うかべる,浮かべる
うかれる,浮かれる
うきうき,うきうき
うきがし,浮き貸し
うきしずみ,浮き沈み
うきだす,浮き出す
うきだす,浮き出す
うきたつ,浮き立つ
うきでる,浮き出る
うきでる,浮き出る
うきぼり,浮き彫り
うぐいす,うぐいす
うけあい,受け合い
うけあう,請け合う
うけいれ,受け入れ
うけうり,受け売り
うけおう,請け負う
うけこたえ,受け答え
うけだち,受け太刀
うけつぎ,うけつぎ
うけつぐ,受け継ぐ
うけとり,受け取り
うけとる,受け取る
うけながす,受け流す
うけながす,受け流す
うけもち,受け持ち
うけもつ,受け持つ
うけもつ,受け持つ
うけわたし,受け渡し
うごうのしゅう,鳥合の衆
うこさべん,右顧左眄
うごめく,うごめく
うしとら,うしとら
うしろよおく,後ヨーク
うすあかり,薄明かり
うすうす,うすうす
うずうず,うずうず
うすぎたない,薄汚ない
うすくらがり,薄暗がり
うすっぺら,薄っぺら
うずまく,うずまく
うずまる,うずまる
うずめる,うずめる
うすらさむい,薄ら寒い
うぞうむぞう,有象無象
うそつき,うそつき
うそはっぴやく,うそ八百
うそぶく,うそぶく
うそぶく,うそぶく
うたかた,うたかた
うたがるた,歌がるた
うたがわしい,疑わしい
うたたね,うたた寝
うちあい,うち合い
うちあう,打ち合う
うちあげ,打ち上げ
うちあける,打明ける
うちいり,討ち入り
うちうち,うちうち
うちかえす,打ち返す
うちかつ,打ち勝つ
うちきり,打ち切り
うちきる,打ち切る
うちけし,打ち消し
うちけす,打ち消す
うちこむ,うち込む
うちころす,打ち殺す
うちたおす,打ち倒す
うちだし,打ち出し
うちだす,うち出す
うちとめる,打止める
うちとる,討ち取る
うちぬき,打ち抜き
うちぬく,打ち抜く
うちはらう,撃ち払う
うちふる,打ち振る
うちやぶる,打ち破る
うちわもめ,内輪もめ
うちわる,打ち割る
うっかり,うっかり
うつしとる,写し取る
うっすら,うっすら
うっすり,うっすり
うっとうしい,欝陶しい
うっとり,うっとり
うっぱなす,打っ放す
うつぶす,うつぶす
うつぶせ,うつぶせ
うつむき,うつむき
うつむき,うつ向き
うつむく,うつむく
うつむけ,うつ向け
うでくらべ,腕くらべ
うでずもう,腕ずもう
うでだめし,腕だめし
