あ	25
愛	30
合	39
哀	9
間	15
相	21
隘	1
逢	2
会	28
亜	2
青	18
仰	5
扇	2
赤	21
飽	2
秋	9
商	24
悪	57
握	4
明	32
上	60
揚	1
浅	9
朝	20
足	20
味	6
唖	2
預	2
東	15
汗	2
遊	25
仇	4
暖	6
頭	12
厚	14
暑	5
熱	24
圧	11
扱	2
斡	1
誂	1
後	55
跡	2
穴	3
兄	5
姐	1
脂	2
油	6
阿	2
海	35
雨	18
甘	14
余	37
尼	2
編	11
網	5
天	42
過	25
誤	15
文	45
歩	12
鮎	1
ア	1
荒	18
洗	10
争	6
新	49
改	31
有	36
粟	1
淡	5
安	25
暗	24
行	32
案	5
闇	2
庵	1
按	3
鞍	1
罨	1
威	12
慰	9
い	16
委	5
医	10
言	16
遺	26
家	43
胃	8
硫	4
以	9
位	5
意	17
毬	1
鋳	4
怒	4
偉	10
移	14
衣	6
生	52
異	28
勢	3
域	2
憤	7
幾	9
育	7
畏	3
違	9
囲	5
憩	1
潔	3
誘	9
勇	15
諌	3
縊	1
維	2
石	22
蝟	1
萎	2
椅	1
依	5
居	8
急	28
磯	1
痛	11
抱	5
出	70
頂	5
板	2
傷	7
至	12
一	116
市	21
逸	3
夷	1
緯	1
井	1
営	8
糸	1
田	10
稲	6
否	5
古	32
祈	4
今	23
戒	5
忌	4
芋	1
嫌	4
入	44
射	8
煎	3
要	30
炒	1
色	15
彩	3
祝	15
岩	4
殷	2
陰	16
引	12
印	11
因	7
院	4
韻	3
隠	11
慇	1
咽	1
淫	5
飲	6
音	28
員	1
姻	1
湮	1
初	42
迂	2
鵜	1
伺	3
窺	1
右	15
浮	15
受	20
承	6
動	18
胡	4
う	13
氏	4
失	27
薄	25
渦	2
謡	2
歌	18
疑	9
撃	7
打	16
討	7
内	74
宇	1
欝	5
写	8
映	6
訴	5
鬱	1
腕	5
促	4
乳	11
奪	5
産	16
馬	21
旨	1
倦	2
膿	2
梅	5
羽	6
敬	14
裏	14
恨	3
売	15
得	13
憂	8
運	20
雲	7
蘊	2
云	1
エ	1
栄	12
鋭	6
永	9
英	16
影	2
曳	1
嬰	2
衛	2
詠	2
叡	1
え	5
笑	7
駅	6
液	3
易	2
益	2
疫	3
役	11
回	27
絵	7
餌	1
蝦	1
画	16
枝	3
越	9
謁	1
閲	4
悦	1
江	2
獲	2
選	16
衿	3
襟	2
彫	6
Ｌ	1
延	8
遠	31
演	13
炎	5
円	13
塩	11
嚥	1
宴	2
沿	7
煙	5
縁	9
婉	1
厭	3
援	5
園	3
掩	2
怨	4
寃	1
臙	1
鉛	1
閻	1
艶	1
汚	12
お	18
老	23
追	27
負	6
王	17
横	24
奥	13
応	13
往	9
桜	3
謳	1
黄	10
欧	3
旺	1
殴	1
嘔	1
凹	2
鳴	6
大	132
多	35
被	7
鷹	1
か	27
侵	6
犯	4
冒	3
拝	18
岡	1
小	64
沖	2
掟	1
補	18
於	1
置	2
屋	7
臆	2
億	2
送	13
贈	5
遅	10
興	12
怠	5
奢	2
幼	12
納	14
押	2
教	38
和	24
推	17
襲	4
恐	5
虞	1
落	22
と	10
男	9
訪	4
少	12
劣	5
踊	2
衰	6
驚	6
同	75
鬼	7
尾	5
雄	7
帯	2
覚	3
御	16
思	10
重	40
面	21
表	19
趣	5
母	17
親	32
女	28
泳	2
及	3
折	10
織	4
