一中	169
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
帯封	おびふう
開封	かいふう
完封	かんぷう
厳封	げんぷう
同封	どうふう
密封	みっぷう

一州	121
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
奥州	おうしゅう
欧州	おうしゅう
九州	きゅうしゅう
本州	ほんしゅう
満州	まんしゅう

一汁	119
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
果汁	かじゅう
鼻汁	はなしる
墨汁	ぼくじゅう

一流	155
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
亜流	ありゅう
海流	かいりゅう
下流	かりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
急流	きゅうりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
上流	じょうりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
嫡流	ちゃくりゅう
中流	ちゅうりゅう
潮流	ちょうりゅう
直流	ちょくりゅう
電流	でんりゅう
漂流	ひょうりゅう
風流	ふうりゅう
浮流	ふりゅう
噴流	ふんりゅう
放流	ほうりゅう
奔流	ほんりゅう
本流	ほんりゅう
末流	まつりゅう
湾流	わんりゅう

一粒	120
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
粟粒	あわつぶ
小粒	こつぶ
米粒	こめつぶ
飯粒	めしつぶ

一級	131
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
階級	かいきゅう
下級	かきゅう
学級	がっきゅう
高級	こうきゅう
首級	しゅきゅう
昇級	しょうきゅう
上級	じょうきゅう
初級	しょきゅう
進級	しんきゅう
全級	ぜんきゅう
中級	ちゅうきゅう
低級	ていきゅう
等級	とうきゅう
同級	どうきゅう
特級	とっきゅう

一蹴	116
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
足蹴	あしげ

一遇	127
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
奇遇	きぐう
境遇	きょうぐう
厚遇	こうぐう
処遇	しょぐう
遭遇	そうぐう
待遇	たいぐう
知遇	ちぐう
不遇	ふぐう
優遇	ゆうぐう
冷遇	れいぐう
礼遇	れいぐう

一隅	117
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
片隅	かたすみ
四隅	よすみ

一風	181
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
秋風	あきかぜ
悪風	あくふう
朝風	あさかぜ
雨風	あめかぜ
威風	いふう
遺風	いふう
大風	おおかぜ
海風	かいふう
学風	がくふう
家風	かふう
画風	がふう
神風	かみかぜ
川風	かわかぜ
寒風	かんぷう
北風	きたかぜ
気風	きふう
強風	きょうふう
颶風	ぐふう
薫風	くんぷう
芸風	げいふう
校風	こうふう
国風	こくふう
東風	こち
古風	こふう
作風	さくふう
潮風	しおかぜ
疾風	しっぷう
秋風	しゅうふう
春風	しゅんぷう
醇風	じゅんぷう
順風	じゅんぷう
松風	しょうふう
涼風	すすかぜ
旋風	せんぷう
台風	たいふう
中風	ちゅうぶう
通風	つうふう
突風	とっぷう
波風	なみかぜ
南風	なんぷう
軟風	なんぷう
西風	にしかぜ
熱風	ねっぷう
爆風	ばくふう
破風	はふ
