あいくるしい	愛くるしい
えこひいき	えこひいき
えすきもお	エスキモー
えちけっと	エチケット
えっくすせん	エックス線
えっさっさ	エッサッサ
えねるぎい	エネルギー
えぴそおど	エピソード
えぼないと	エボナイト
えめらるど	エメラルド
えりすぐる	えりすぐる
えりわける	えり分ける
えれがんと	エレガント
えれめんと	エレメント
おいかける	追いかける
おいすがる	追いすがる
おいそれと	おいそれと
おいたてる	追い立てる
おいちらす	追い散らす
おいつめる	追いつめる
おいぼれる	老いぼれる
おいまわす	追いまわす
おおせつかる	仰せ付かる
おおせつける	仰せ付ける
おおつごもり	大つごもり
おおっぴら	おおっぴら
おおとばい	オートバイ
おおぶろしき	大ぶろしき
おかあさま	おかあさま
おかあさん	おかあさん
おかしがる	おかしがる
おかみさん	おかみさん
おきあがり	起き上がり
おきあがる	起き上がる
おきかえる	置き換える
おきごたつ	置きごたつ
おきしふる	オキシフル
おきにいり	お気に入り
おきみやげ	置きみやげ
おきわすれる	置き忘れる
おくたあぶ	オクターブ
おくゆかしい	奥ゆかしい
おくりつける	送りつける
おくりとどける	送り届ける
おくればせ	おくればせ
おこえがかり	お声がかり
おこりつける	怒りつける
おさななじみ	幼ななじみ
おしあける	押しあける
おしあげる	押し上げる
おしあてる	押し当てる
おじいさん	おじいさん
おしおよぼす	推し及ぼす
おしかける	押しかける
おしこめる	押し込める
おしさげる	押しさげる
おしすすめる	推し進める
おしたてる	押し立てる
おしつける	押しつける
おしつぶす	押しつぶす
おしつまる	押しつまる
おしつめる	押しつめる
おしつめる	押し詰める
おしなべて	おしなべて
おしのける	押しのける
おしのける	押し除ける
おしゃべり	おしゃべり
おしよせる	押し寄せる
おしわける	押し分ける
おせっかい	おせっかい
おそいかかる	襲いかかる
おそれいる	おそれいる
おちかかる	落ちかかる
おちかさなる	落ち重なる
おちつける	おちつける
おちのびる	落ちのびる
おちぶれる	落ちぶれる
おっかける	追っかける
おっこちる	おっこちる
おっことす	おっことす
おっしゃる	おっしゃる
おってがき	追って書き
おっとせい	おっとせい
おてやわらか	お手柔らか
おとうさま	おとうさま
おとうさん	おとうさん
おどしとる	おどし取る
おとなしい	おとなしい
おとなびる	おとなびる
おどりあがる	踊り上がる
おどりかかる	躍りかかる
おのおのがた	おのおの方
おのずから	おのずから
おのぼりさん	お上りさん
おばあさん	おばあさん
おびきだす	おびき出す
おびやかす	おびやかす
おぶらあと	オブラート
おぼろづきよ	おぼろ月夜
おみなえし	おみなえし
おめしかえ	お召し替え
おめでとう	おめでとう
おもいあがる	思いあがる
おもいあたる	思い当たる
おもいおこす	思い起こす
おもいおもいに	思い思いに
おもいがける	思いがける
おもいさだめる	思い定める
おもいすごす	思い過ごす
おもいちがえる	思い違える
おもいつめる	思いつめる
おもいのほか	思いのほか
おもわせぶり	思わせぶり
おりいって	おりいって
おりかさなる	折り重なる
おりかさねる	折り重ねる
おれんじいろ	オレンジ色
おわします	おわします
かいあげる	買い上げる
かいいれる	買い入れる
かいうける	買い受ける
かいかぶる	買いかぶる
かいきんしゃつ	開衿シャツ
