あいくるしい	愛くるしい
とっちめる	とっちめる
とっておき	取っておき
とってかえす	取って返す
とどろかす	とどろかす
となりあわせ	隣り合わせ
どなりこむ	どなりこむ
どのように	どのように
とばっちり	とばっちり
とびあがる	飛び上がる
とびおきる	とび起きる
とびおりる	飛びおりる
とびかかる	とびかかる
とびこえる	飛び越える
とびはなれる	飛び離れる
とびまわる	とびまわる
とめどなく	とめどなく
ともすると	ともすると
ともすれば	ともすれば
ともどもに	ともどもに
とらくたあ	トラクター
とらこおま	トラコーマ
とらほおむ	トラホーム
どらむかん	ドラムカン
とらわれる	とらわれる
とりあえず	とりあえず
とりあげる	取りあげる
とりあげる	取り上げる
とりあわせ	取り合わせ
とりいれる	取り入れる
とりうちぼうし	鳥打ち帽子
とりおとす	取り落とす
とりかえる	取り換える
とりかかる	取りかかる
とりかたづけ	取り片付け
とりかわす	取り交わす
とりきめる	取りきめる
とりこしぐろう	取越し苦労
とりこぼし	とりこぼし
とりこぼす	取りこぼす
とりこわし	取りこわし
とりこわす	取りこわす
とりさげる	取り下げる
とりさばく	取りさばく
とりしきる	取りしきる
とりしまる	取り締まる
とりしらべる	取り調べる
とりすがる	とりすがる
とりたてる	取り立てる
とりちがえる	取り違える
とりちらす	取り散らす
とりつくす	取り尽くす
とりつける	取りつける
とりつける	取り付ける
とりとめる	取り止める
とりにがす	取り逃がす
とりのける	取り除ける
とりはからう	取り計らう
とりはずす	とりはずす
とりはずす	取りはずす
とりまぜる	とりまぜる
とりまとめ	取りまとめ
とりみんぐ	トリミング
とりよせる	取り寄せる
どれっしい	ドレッシー
どんぶりこ	どんぶりこ
ないがしろ	ないがしろ
ながたらしい	長たらしい
なかまはずれ	仲間はずれ
ながめまわす	眺めまわす
なきあかす	泣き明かす
なきおとし	泣き落とし
なきかわす	鳴きかわす
なきくらす	泣き暮らす
なきねいり	泣き寝入り
なぐさめる	なぐさめる
なぐりあい	なぐり合い
なぐりがき	なぐり書き
なぐりころす	なぐり殺す
なぐりたおす	なぐり倒す
なげいれる	投げ入れる
なげかける	投げかける
なげかわしい	嘆かわしい
なげすてる	投げすてる
なげすてる	投げ棄てる
なげつける	投げつける
なしくずし	なしくずし
なしとげる	なし遂げる
なぞらえる	なぞらえる
なつかしい	なつかしい
なつかしむ	なつかしむ
なってない	なってない
なつみかん	なつみかん
なでつける	なでつける
なでまわす	なでまわす
なとりうむ	ナトリウム
なにくわぬかお	何食わぬ顔
なのりでる	名乗り出る
なふたりん	ナフタリン
なまじいに	なまじいに
なまじっか	なまじっか
なまやさしい	生やさしい
なみうちぎわ	波うちぎわ
なみだぐましい	涙ぐましい
ならべたてる	並べたてる
なりあがる	成り上がる
なりかわる	成りかわる
なりさがる	成り下がる
なりはてる	なり果てる
なりものいり	鳴り物入り
なれそめる	なれそめる
なれのはて	なれの果て
なんせんす	ナンセンス
なんなんとする	垂んとする
におわせる	におわせる
にがみばしる	苦みばしる
にぎりこぶし	握りこぶし
にぎりしめる	握りしめる
にぎりつぶし	握りつぶし
にぎりつぶす	握りつぶす
にくたらしい	憎たらしい
にげうせる	逃げ失せる
にげのびる	逃げのびる
にげまどう	逃げまどう
にげまわる	逃げまわる
にごしらえ	荷ごしらえ
にしきへび	にしきへび
にじほうていしき	二次方程式
にじみでる	にじみ出る
にじりよる	にじり寄る
にひゃくはつか	二百二十日
にひりすと	ニヒリスト
にゅあんす	ニュアンス
にょっきり	にょっきり
にらまえる	にらまえる
にらまれる	にらまれる
にらみあい	にらみ合い
にらみあう	にらみあう
にらみかえす	にらみ返す
にらめっこ	にらめっこ
ぬいつける	縫いつける
ぬいどまり	縫いどまり
ぬぎすてる	脱ぎすてる
ぬぎすてる	脱ぎ棄てる
ぬきんでる	ぬきんでる
ぬけかわる	抜け変わる
ぬりあげる	塗りあげる
ぬりかえる	塗り替える
ぬりたくる	塗りたくる
ぬりたてる	塗り立てる
ぬりつける	塗りつける
ぬりつぶす	塗りつぶす
ぬれそぼつ	濡れそぼつ
ぬれねずみ	ぬれねずみ
ねいりばな	寝入りばな
ねえしょん	ネーション
ねがいさげる	願い下げる
ねこなでごえ	ねこなで声
ねこやなぎ	ねこやなぎ
ねじふせる	ねじ伏せる
ねじまげる	ねじ曲げる
ねじまわし	ねじまわし
ねそびれる	寝そびれる
ねたましい	ねたましい
ねとぼける	寝とぼける
ねばっこい	ねばっこい
ねばりづよい	ねばり強い
ねめつける	ねめつける
ねらいうち	ねらい撃ち
ねりかためる	練り固める
ねりはみがき	練り歯磨き
ねんがらねんじゅう	年がら年中
のいろおぜ	ノイローゼ
のこりおしい	残り惜しい
のしあがる	のし上がる
のしあげる	のし上げる
のしかかる	のしかかる
のたれじに	のたれ死に
のびあがる	伸び上がる
のみかける	飲みかける
のみならず	のみならず
のりあげる	乗り上げる
のりあわす	乗り合わす
のりいれる	乗り入れる
のりかえる	乗り換える
のりかかる	乗りかかる
のりこえる	乗り越える
のりすごす	乗り過ごす
のりすてる	乗り捨てる
のりつける	乗りつける
のりならす	乗り慣らす
のりなれる	乗り慣れる
のりまわす	乗りまわす
ぱあせんと	パーセント
ぱあてぃい	パーティー
はあもにい	ハーモニー
はあもにか	ハーモニカ
はいあがる	はい上がる
ばいおりん	バイオリン
はいきんぐ	ハイキング
はいねっく	ハイネック
ぱいぴんぐ	パイピング
はいまわる	はいまわる
はいりこむ	はいり込む
ぱいろっと	パイロット
ばかくさい	ばかくさい
ばからしい	ばからしい
はかりごと	はかりごと
はききよめる	掃き清める
はきすてる	掃き棄てる
はきすてる	掃き捨てる
はきちがえる	はき違える
ばくちうち	ばくちうち
ばくちうち	ばくち打ち
はくちょう	はくちょう
ばくてりあ	バクテリア
はぐらかす	はぐらかす
はぐれる	−はぐれる
はげいとう	はげいとう
はさみうち	はさみうち
はじきだす	はじき出す
ばじきだす	はじき出す
はしりたかとび	走り高跳び
はしりはばとび	走り幅跳び
はしりまわる	走りまわる
はずかしい	恥ずかしい
ばすけっと	バスケット
ばするうむ	バスルーム
はせつける	はせつける
はだかむぎ	はだかむぎ
はたしあい	果たし合い
はたらきかける	働きかける
はちあわせ	はち合わせ
はちきれる	はちきれる
はっけよい	ハッケヨイ
ばってりい	バッテリー
はっとする	はっとする
はてしない	はてしない
ぱとろおる	パトロール
はとろんし	ハトロン紙
はなしかける	話しかける
はなにかける	鼻にかける
はねあがる	はね上がる
はねあげる	はね上げる
はねおきる	はね起きる
はねかえす	はねかえす
はねかえる	はねかえる
はねつける	はねつける
はねとばす	はね飛ばす
はねのける	はねのける
はねまわる	はねまわる
はまだらか	はまだらか
はまりこむ	はまりこむ
はやいものがち	早い者勝ち
はやのみこみ	早のみ込み
はやりかぜ	はやりかぜ
はやりっこ	はやりっ子
はらいさげる	払い下げる
はらいっぱい	腹いっぱい
はらごしらえ	腹ごしらえ
はらだたしい	腹立たしい
ぱらちふす	パラチフス
はりあげる	張り上げる
はりかえる	張り替える
ばりけえど	バリケード
はりさける	張り裂ける
はりつける	はりつける
はりつめる	はりつめる
はりとばす	はり飛ばす
はれあがる	腫れあがる
はれあがる	晴れ上がる
ばれいしょ	ばれいしょ
はんだづけ	ハンダ付け
はんでぃい	ハンディー
はんもっく	ハンモック
ぴあにすと	ピアニスト
ぴいなっつ	ピーナッツ
ひがないちにち	日がな一日
ひからびる	干からびる
ひがんばな	ひがんばな
ひきあげる	引き上げる
ひきあげる	引き揚げる
ひきあわす	ひきあわす
ひきあわせ	ひきあわせ
ひきいれる	引き入れる
ひきうける	引き受ける
ひきおこす	ひき起こす
ひきおろす	引きおろす
ひきかえる	引き換える
ひきがえる	ひきがえる
ひきこもる	引きこもる
ひきさがる	引き下がる
ひきさげる	引き下げる
ひきしぼる	ひきしぼる
ひきしまる	ひきしまる
ひきしめる	ひきしめる
ひきしめる	引き締める
ひきたてる	引き立てる
ひきつける	ひきつける
ひきつける	引き付ける
ひきつれる	引き連れる
ひきとめる	引き止める
ひきのばし	引き伸ばし
ひきのばす	引き伸ばす
ひきまわす	ひきまわす
ひきよせる	引き寄せる
ひきわける	引き分ける
ひきわりむぎ	ひきわり麦
ぴくにっく	ピクニック
ひけらかす	ひけらかす
ひざがしら	ひざがしら
ひざまずく	ひざまずく
ひしひしと	ひしひしと
ひしゃげる	ひしゃげる
びしょぬれ	びしょぬれ
びすけっと	ビスケット
ひすてりい	ヒステリー
ひだりぎっちょ	左ぎっちょ
ひっかかる	ひっかかる
ひっかける	ひっかける
ひっかつぐ	ひっかつぐ
ひっかぶる	ひっかぶる
ひっくくる	ひっくくる
ひっこぬく	ひっこ抜く
ひっこます	ひっこます
ひっこみじあん	引込み思案
ひっこめる	ひっこめる
ひっさげる	ひっさげる
ひつじさる	ひつじさる
ぴっしゃり	ぴっしゃり
びっしょり	びっしょり
ひっそりかん	ひっそり閑
ひったくり	ひったくり
ひったくる	ひったくる
ひったてる	引っ立てる
ぴっちゃあ	ピッチャー
ひっつかむ	ひっつかむ
ひっつける	ひっつける
ひっぱたく	ひっぱたく
ひとかたならず	一方ならず
ひとしきり	ひとしきり
ひとすじに	ひとすじに
ひとつめこぞう	一つ目小憎
ひとところ	ひとところ
ひとなつこい	人なつこい
ひとりあるき	ひとり歩き
ひとりぎめ	ひとり決め
ひとりごと	ひとりごと
ひとりじめ	ひとり占め
ひとりずもう	独りずもう
ひとりでに	ひとりでに
ひとりぶたい	ひとり舞台
ひとりむし	ひとりむし
ひとわたり	ひとわたり
ひねくれる	ひねくれる
ひねこびる	ひねこびる
ひねりだす	ひねり出す
ひのえうま	ひのえうま
ひびきわたる	響きわたる
ひやしんす	ヒヤシンス
びやほおる	ビヤホール
ひょうたん	ひょうたん
ひょっくり	ひょっくり
ひょっこり	ひょっこり
ひょっとこ	ひょっとこ
ひょろながい	ひょろ長い
ひらあやまり	平あやまり
ぴらみっど	ピラミッド
ひらめかす	ひらめかす
ひるがえす	ひるがえす
ひるがえる	ひるがえる
ひろいあげる	拾いあげる
ひろいあげる	拾い上げる
ぴんせっと	ピンセット
ぴんとくる	ぴんと来る
ひんまがる	ひんまがる
ひんまげる	ひんまげる
ふぁすなあ	ファスナー
ふぃいるど	フィールド
ふぃよるど	フィヨルド
ふぃるたあ	フィルター
ふうじこめる	封じ込める
ふがいない	腑甲斐ない
ふかしたて	ふかしたて
ふきあがる	吹き上がる
ふきあげる	吹き上げる
ふきあれる	吹き荒れる
ふきおろす	吹きおろす
ふきかえる	吹き替える
ふきかける	吹きかける
ふききよめる	拭き清める
ふきさらし	吹きさらし
ふきだまり	吹きだまり
ふきつける	吹きつける
ふきとばす	吹き飛ばす
ふきまくる	吹きまくる
ふきよせる	吹き寄せる
ふくらしこ	ふくらし粉
ふくらはぎ	ふくらはぎ
ふくらます	ふくらます
ふさぎこむ	ふさぎこむ
ふさわしい	ふさわしい
ふしくれだつ	節くれ立つ
ふしまろぶ	伏しまろぶ
ふせどめる	伏せ止める
ぶちこわし	ぶちこわし
ぶちこわす	ぶちこわす
ぶちまける	ぶちまける
ぶったぎる	ぶったぎる
ぶっつかる	ぶっつかる
ぶっつける	ぶっつける
ふつりあい	不つりあい
ふみあらす	踏み荒らす
ふみいれる	踏み入れる
ふみかためる	踏み固める
ふみこえる	踏み越える
ふみしだく	踏みしだく
ふみしめる	踏みしめる
ふみつける	踏みつける
ふみつぶす	踏みつぶす
ふみならす	踏み鳴らす
ふみにじる	踏みにじる
ふみはずす	踏みはずす
ふらいぱん	フライパン
ぷらかあど	プラカード
ぶらさがる	ぶらさがる
ぶらさげる	ぶらさげる
ふらっしゅ	フラッシュ
ぶらっしゅ	ブラッシュ
ふらっぱあ	フラッパー
ふらんすご	フランス語
ふりあげる	振り上げる
ふりおこす	振り起こす
ふりおとす	振り落とす
ふりおろす	振りおろす
ふりかえる	ふりかえる
ふりかえる	振り替える
ふりかかる	ふりかかる
ふりかける	ふりかける
ふりかざす	ふりかざす
ふりかぶる	ふりかぶる
ふりこめる	降り込める
ふりしきる	降りしきる
ふりすてる	ふり棄てる
ふりそそぐ	降りそそぐ
ふりたてる	振り立てる
ふりつける	振り付ける
ふりつもる	降り積もる
ふりまわす	ふりまわす
ふりまわす	振りまわす
ふりむける	ふりむける
ふりわける	ふり分ける
ぷりんせす	プリンセス
ぶるじょあ	ブルジョア
ふるめかしい	古めかしい
ぷれえやあ	プレーヤー
ぷれぜんと	プレゼント
ふれまわる	ふれまわる
ぷれみあむ	プレミアム
ぶろおかあ	ブローカー
ぷろぐらむ	プログラム
ぷろふぃる	プロフィル
ぷろぺらあ	プロペラー
ふんだくる	ふんだくる
ふんだんに	ふんだんに
ぶんなぐる	ぶんなぐる
べありんぐ	ベアリング
へくたある	ヘクタール
へこたれる	へこたれる
べすとてん	ベストテン
べすとわん	ベストワン
ぺちゃんこ	ぺちゃんこ
ぺったらこ	ぺったらこ
ぺにしりん	ペニシリン
へばりつく	へばりつく
へりくだる	へりくだる
ぺんねえむ	ペンネーム
ぼいこっと	ボイコット
ほうせんか	ほうせんか
ほうだい	−ほうだい
ほうりこむ	ほうり込む
ほうりだす	ほうり出す
ほえたてる	ほえたてる
ほおかぶり	ほおかぶり
ほおかむり	ほおかむり
ほおむらん	ホームラン
ほかならぬ	ほかならぬ
ぼくしんぐ	ボクシング
ほくそえむ	ほくそえむ
ぽけっとぐち	ポケット口
ほころばす	ほころばす
ほころびる	ほころびる
ほしいまま	ほしいまま
ほしうらない	星うらない
ほだされる	ほだされる
ほたるがり	ほたる狩り
ほったてごや	掘立て小屋
ぽつねんと	ぽつねんと
ほつれどめ	ほつれ止め
ほととぎす	ほととぎす
ほとばしる	ほとばしる
ほのめかす	ほのめかす
ぽぴゅらあ	ポピュラー
ほめことば	ほめことば
ほめそやす	ほめそやす
ほめたてる	ほめたてる
ほめちぎる	ほめちぎる
ほりあてる	掘り当てる
ほりおこす	掘り起こす
ほりくずす	掘りくずす
ほりさげる	掘りさげる
ほりだしもの	掘り出し物
ほりつける	彫りつける
ほりつける	彫り付ける
ぼんのくぼ	ぼんのくぼ
まあけっと	マーケット
まあじゃん	マージャン
まいあがる	舞い上がる
まえすかあと	前スカート
まがりなり	曲がりなり
まきあがる	巻き上がる
まきあげる	まきあげる
まきあげる	巻きあげる
まきあげる	巻き上げる
まきおこす	まき起こす
まきおこる	まき起こる
まきたばこ	巻きたばこ
まきちらす	撒き散らす
まきつける	まきつける
まきつける	蒔きつける
まぎれこむ	まぎれ込む
まけいくさ	負けいくさ
まけおしみ	負け惜しみ
まけがこむ	負けがこむ
まけぎらい	負けぎらい
ますげえむ	マスゲーム
ますこっと	マスコット
まぜかえす	まぜかえす
またいとこ	またいとこ
またどおる	マタドール
まだるこい	まだるこい
まちあぐむ	待ちあぐむ
まちあわせ	待ち合わせ
まちうける	待ち受ける
まちかねる	待ちかねる
まちかまえる	待ち構える
まちどおしい	待ち遠しい
まちぼうけ	待ちぼうけ
まちもうける	待ち設ける
まちわびる	待ちわびる
まっさあじ	マッサージ
まっしぐら	まっしぐら
まっぱだか	まっぱだか
まつりあげる	祭り上げる
まにあわせ	間に合わせ
まぬがれる	まぬがれる
まのあたり	まのあたり
まよねえず	マヨネーズ
まるっきり	まるっきり
まるはだか	まるはだか
まるめこむ	まるめこむ
まんどりん	マンドリン
みあらわす	見あらわす
みあわせる	見合わせる
みおとりする	見劣りする
みおぼえる	見おぼえる
みがきあげる	磨きあげる
みがきたてる	磨き立てる
みごしらえ	身ごしらえ
みことのり	みことのり
みずしらず	見ず知らず
みずすまし	みずすまし
みずのみびゃくしょう	水呑み百姓
みせかける	見せかける
みせつける	見せつける
みそさざい	みそさざい
みそっかす	味噌っかす
みだしなみ	身だしなみ
みづくろい	身づくろい
みっしょん	ミッション
みとがめる	見とがめる
みのふりかた	身の振り方
みまちがえる	見間違える
みもだえる	身もだえる
みやびやか	みやびやか
みりばある	ミリバール
むかいあい	向かい合い
むかいあう	向かいあう
むぎわらざいく	麦わら細工
むぎわらぼうし	麦わら帽子
むこういき	向こう意気
むしりとる	むしりとる
むずかしい	むずかしい
むずがゆい	むずがゆい
むすびつける	結びつける
むせびなく	むせび泣く
むだづかい	むだづかい
むつかしい	むつかしい
むつまじい	むつまじい
むなくそわるい	胸くそ悪い
むなつきはっちょう	胸突き八丁
むべなるかな	宜なるかな
めあわせる	めあわせる
めかにずむ	メカニズム
めぐりあい	めぐりあい
めぐりあう	めぐりあう
めざましい	目ざましい
めしあがる	召しあがる
めしかかえる	召し抱える
めっせえじ	メッセージ
めったうち	めった撃ち
めりけんこ	メリケン粉
めろでぃい	メロディー
めをみはる	目をみはる
めんくらう	めんくらう
めんどうくさい	面倒くさい
もうけしごと	もうけ仕事
もうしあげる	申し上げる
もうしあわせ	申し合わせ
もうしいれる	申し入れる
もうしうける	申し受ける
もうしそえる	申し添える
もうしたてる	申し立てる
もうしつける	申し付ける
もうしのべる	申し述べる
もえあがる	燃え上がる
もえさかる	燃えさかる
もえつきる	燃えつきる
もえひろがる	燃え広がる
もおにんぐ	モーニング
もぐりこむ	もぐり込む
もちあがる	持ち上がる
もちあげる	持ち上げる
もちあわせ	持ち合わせ
もちあわせる	持ち合わせ
もちかえる	持ち換える
もちかける	もちかける
もちきたす	持ち来たす
もちぐされ	持ちぐされ
もちまわる	持ちまわる
もっけのさいわい	もっけの幸
もっていく	持っていく
もってくる	持ってくる
もってのほか	以てのほか
もてあそび	もてあそび
もてあそぶ	もてあそぶ
もてあまし	持てあまし
もてあます	もてあます
もてはやす	もてはやす
もどかしい	もどかしい
ものすごい	ものすごい
ものたりない	物足りない
もののあわれ	物のあわれ
ものはづけ	ものは付け
ものやわらか	物やわらか
もりあがる	盛り上がる
もりあげる	盛り上げる
もりつぶす	盛りつぶす
もるもっと	モルモット
やえざくら	やえざくら
やかましい	やかましい
やきすてる	焼き棄てる
やきつける	焼きつける
やきつける	焼き付ける
やきなまし	焼きなまし
やけおちる	焼け落ちる
やすうけあい	安受け合い
やすやすと	やすやすと
やせおとろえる	やせ衰える
やせこける	やせこける
やせっぽち	やせっぽち
やつあたり	八つ当たり
やつぎばやに	矢つぎ早に
やっつける	やっつける
やってくる	やってくる
やっとこさ	やっとこさ
やにさがる	やにさがる
やぶにらみ	やぶにらみ
やぶれかぶれ	破れかぶれ
やまざくら	やまざくら
やまのいも	やまのいも
やみあがり	病み上がり
やみがたい	やみがたい
ややこしい	ややこしい
やりきれる	やりきれる
やりこめる	やりこめる
やりすごす	やり過ごす
やりとげる	やり遂げる
やるせない	やるせない
やわらげる	やわらげる
ゆうとぴあ	ユートピア
ゆきあたり	行き当たり
ゆきあたる	行き当たる
ゆきがかり	行きがかり
ゆきかかる	行きかかる
ゆきかける	行きかける
ゆきすぎる	行き過ぎる
ゆきづまり	行き詰まり
ゆきづまる	行き詰まる
ゆきどまり	行き止まり
ゆくりなく	ゆくりなく
ゆすぶれる	ゆすぶれる
ゆずりうける	譲り受ける
ゆであがる	ゆであがる
ゆでたまご	ゆでたまご
ゆにほおむ	ユニホーム
ゆりあげる	揺り上げる
ゆりうごかす	揺り動かす
ゆりおこす	揺り起こす
よいしれる	酔いしれる
よおくづけ	ヨーク付け
よおろっぱ	ヨーロッパ
よこぐるまをおす	横車を押す
よしずばり	よしず張り
よじのぼる	よじのぼる
よせあつめる	寄せ集める
よせつける	寄せ付ける
よっぱらい	酔っぱらい
よっぱらう	酔っぱらう
よつんばい	四つんばい
よびあげる	呼びあげる
よびあつめる	呼び集める
よびいれる	呼び入れる
よびおこす	呼び起こす
よびかける	呼びかける
よびたてる	呼び立てる
よびつける	呼びつける
よびつづける	呼び続ける
よびとめる	呼び止める
よびならす	呼び慣らす
よびなれる	呼び慣れる
よびにくい	呼びにくい
よびよせる	呼び寄せる
よみあげる	読み上げる
よみあわせ	読み合わせ
よみがえる	よみがえる
よみこなす	読みこなす
よみなれる	読みなれる
よみふける	読みふける
よもすがら	よもすがら
よりあつまり	寄り集まり
よりあつまる	寄り集まる
よりかかる	よりかかる
よりかかる	寄りかかる
よりわける	より分ける
よろしゅう	よろしゅう
よわりはてる	弱りはてる
らいちょう	らいちょう
らいにんぐ	ライニング
らっかせい	らっかせい
らっきょう	らっきょう
らっせるしゃ	ラッセル車
らっぱのみ	ラッパ呑み
らぶしいん	ラブシーン
らんでぶう	ランデブー
らんどせる	ランドセル
らんにんぐ	ランニング
りありずむ	リアリズム
りっすいのよち	立錐の余地
れすとらん	レストラン
れすりんぐ	レスリング
れふぇりい	レフェリー
れんげそう	れんげそう
れんとげん	レントゲン
ろおしょん	ローション
ろおたりい	ロータリー
ろくおんてえぷ	録音テープ
わいしゃつ	ワイシャツ
わからずや	わからずや
わかりきる	わかりきる
わきあがる	わきあがる
わきあがる	沸き上がる
わきおこる	わき起こる
わきまえる	わきまえる
わしづかみ	わしづかみ
わずらわす	わずらわす
わだかまり	わだかまり
わだかまる	わだかまる
わっしょい	ワッショイ
わびずまい	わび住まい
わらじばき	わらじばき
わりあてる	割り当てる
わりいれる	割り入れる
わりきれる	割り切れる
わりつける	割り付ける
わりほぐす	割りほぐす
わんぴいす	ワンピース
